lang	headline	word1	word2	joke_v1	joke_v2	joke
zh	-	扔	勺子	听说他扔勺子抗议食堂菜太咸，结果勺子飞出去砸中了新闻联播的提词器。	他怒扔勺子抗议食堂菜太咸，结果勺子精准砸中“光盘行动”宣传牌——连剩饭都来不及倒，就先完成了行为艺术。	听说他扔勺子抗议食堂菜太咸，结果勺子飞出去砸中了新闻联播的提词器。
zh	-	微波炉	鞋	听说有人把鞋放进微波炉烘干，结果新闻标题变成了“爆炸性时尚”——鞋子炸了，微波炉成了最新款烤鞋机。	有人把湿鞋塞进微波炉烘干，三分钟后，微波炉成了唯一穿得起“爆炸款”新鞋的——毕竟它连说明书都懒得看，活该被当代生活炸成工业艺术。	听说有人把鞋放进微波炉烘干，结果新闻标题变成了“爆炸性时尚”——鞋子炸了，微波炉成了最新款烤鞋机。
zh	-	扔	衬衫	他生气地把衬衫扔进洗衣机，结果新闻说洗衣机当选市长了——毕竟它天天“转”得比谁都勤快！	他一怒把衬衫扔进碎纸机——反正这年头，连衣服都比他的辞职信更容易被“处理”。	他生气地把衬衫扔进洗衣机，结果新闻说洗衣机当选市长了——毕竟它天天“转”得比谁都勤快！
zh	-	测量	烤箱	科学家最新研究发现，用烤箱测量爱情温度最准——毕竟，感情这东西，不烤一烤怎么知道是外焦里嫩还是彻底糊了？	民政局新推“感情稳定性快测”：把结婚证塞进烤箱，用测量仪看焦化程度——毕竟有些婚姻，连预热都不用就直接冒烟了。	科学家最新研究发现，用烤箱测量爱情温度最准——毕竟，感情这东西，不烤一烤怎么知道是外焦里嫩还是彻底糊了？
zh	-	喝	蛋	听说他一口气喝下十杯蛋白粉，结果打了个嗝，孵出一只小鸡。	他猛灌三杯蛋白粉，打了个嗝，孵出的不是鸡，是老板的KPI蛋——还要求他每天喝着续命。	听说他一口气喝下十杯蛋白粉，结果打了个嗝，孵出一只小鸡。
zh	-	扔	曲奇饼	抗议者把曲奇饼当手雷扔向议会，结果议员们边躲边喊：“这届示威太甜了！”	抗议者朝议会扔曲奇饼，议员们一边接住啃一边点头：“诉求很甜，但下次能配个咖啡吗？这届反抗连苦味都舍不得给。”	抗议者把曲奇饼当手雷扔向议会，结果议员们边躲边喊：“这届示威太甜了！”
zh	-	混合	电话	听说隔壁老王把手机和搅拌机混合了，现在打他电话全是“嗡嗡”声，还附赠果蔬汁配方！	客服说我的套餐是“混合通话+无限流量”，结果每次打人工电话，AI先问我“您是否愿意和智能语音混合共处一生？”——我还没答，它就把我挂了。	听说隔壁老王把手机和搅拌机混合了，现在打他电话全是“嗡嗡”声，还附赠果蔬汁配方！
zh	-	锤击	车	车主怒锤自家车，说它比前任还难启动——锤击十下，车没动，手先报废。	车主抡锤猛砸爱车，怒吼“再不启动就送你进废铁盲盒”——结果锤击十下，车没醒，4S店来电：“先生，您订的‘情绪发泄体验包’已自动续费三年。”	车主怒锤自家车，说它比前任还难启动——锤击十下，车没动，手先报废。
zh	-	钻孔	瓶子	科学家发现新型环保材料，竟能用钻孔废料造出自动喝水的瓶子——可惜一钻就漏，喝了个寂寞。	实验室刚用钻孔废料3D打印出“智能喝水瓶”，结果一钻孔就漏，瓶子比甲方的需求文档还经不起推敲。	科学家发现新型环保材料，竟能用钻孔废料造出自动喝水的瓶子——可惜一钻就漏，喝了个寂寞。
zh	-	切割	毛巾	新闻说某公司裁员“切割”得比理发店还利索，我手里的毛巾都吓得自动对折求生了。	公司HR宣布“切割”优化名单那天，我攥着毛巾擦汗，结果它自己对折三次——叠成了一封辞职信。	新闻说某公司裁员“切割”得比理发店还利索，我手里的毛巾都吓得自动对折求生了。
zh	-	锤击	鞋	锤击鞋底三下，新闻发言人说这是在“敲实”最新政策，结果鞋飞出去砸中了记者的咖啡杯。	锤击鞋底三下，发言人称这是“夯实政策落地”，结果鞋飞出去砸中记者咖啡杯——杯没碎，但当天的通稿里，“稳健”被悄悄改成了“动态调整”。	锤击鞋底三下，新闻发言人说这是在“敲实”最新政策，结果鞋飞出去砸中了记者的咖啡杯。
zh	-	锤击	蛋	某男子试图用锤击方式煮蛋，结果蛋没熟，邻居报警说他在敲打“沉默的证人”。	男子坚信锤击能激活蛋的“蛋白质潜能”，结果蛋碎了，邻居报警称有人在暴力审讯早餐。	某男子试图用锤击方式煮蛋，结果蛋没熟，邻居报警说他在敲打“沉默的证人”。
zh	-	锤击	电话	他锤击电话想让它快点接通，结果客服说：“您已成功预约——修手机服务。”	他锤击电话怒吼“再不接通我就砸了”，结果自动语音温柔回复：“检测到暴力倾向，已为您转接心理援助热线——顺便，您的手机碎屏险本月已用完。”	他锤击电话想让它快点接通，结果客服说：“您已成功预约——修手机服务。”
zh	-	洗	黄瓜	警方破获一起“洗”钱大案，嫌犯竟把赃款藏在腌黄瓜罐头里，说是为了“洗”得干净又入味。	警方破获“洗”钱案，嫌犯把赃款塞进腌黄瓜罐头，审讯时还嘴硬：“这叫闭环清洗——钱要像黄瓜一样，泡透了才干净。”	警方破获一起“洗”钱大案，嫌犯竟把赃款藏在腌黄瓜罐头里，说是为了“洗”得干净又入味。
zh	-	摇晃	桌子	新闻说股市暴跌，吓得我桌子都摇晃了——不是地震，是我手抖得连泡面都放不稳！	股市一崩，我桌子摇晃得比K线还剧烈——不是行情太刺激，是老板站我身后说“再亏就拿你祭盘”，吓得我泡面汤全洒在键盘上。	新闻说股市暴跌，吓得我桌子都摇晃了——不是地震，是我手抖得连泡面都放不稳！
zh	-	洗	西瓜	近日有人洗西瓜洗得太认真，连籽都搓成了瓜子仁，结果被误认成零食摊主。	他洗西瓜洗到连籽都跪下喊爹，结果邻居报警说有人非法加工坚果——警察来了尝了一口，顺手扫码下单三斤。	近日有人洗西瓜洗得太认真，连籽都搓成了瓜子仁，结果被误认成零食摊主。
zh	-	喷洒	书	为了消灭书虫，图书馆管理员竟对藏书进行“喷洒”消毒——结果喷的是风油精，整层楼的《五年高考三年模拟》都清醒了。	图书馆新聘的“AI馆长”上任第一天，就下令对古籍区全面喷洒“知识防腐剂”——结果保洁阿姨拿风油精兑了《成功学速成指南》当消毒水，整排书架的《资本论》打了个激灵，连夜申请调岗到自习室当镇纸。	为了消灭书虫，图书馆管理员竟对藏书进行“喷洒”消毒——结果喷的是风油精，整层楼的《五年高考三年模拟》都清醒了。
zh	-	洗	微波	听说他想用微波炉“洗”衣服，结果衣服没干，人先被“叮”熟了。	他坚信“洗”衣不用水，把衬衫塞进微波炉转三分钟——结果衣服没干净，倒是烤出了全小区最香的焦糊味，连物业都来问配方。	听说他想用微波炉“洗”衣服，结果衣服没干，人先被“叮”熟了。
zh	-	打开	冰箱	打开冰箱的瞬间，我仿佛看到了新闻里说的“经济复苏”——可惜只是幻觉，里面只剩半盒过期酸奶。	打开冰箱，冷气扑面而来，仿佛听见经济复苏的PPT在制冷——可惜里面除了过期酸奶，连“增长曲线”都发霉了。	打开冰箱的瞬间，我仿佛看到了新闻里说的“经济复苏”——可惜只是幻觉，里面只剩半盒过期酸奶。
zh	-	移动	微波	移动信号弱到连微波炉都开始帮忙传消息了，结果刚发的“在吗”被加热成了“熟了吗”。	移动信号弱到连微波炉都开始兼职基站了，结果我发的“在吗”被转成“熟了吗”，对方回：“火候刚好，记得加盐。”	移动信号弱到连微波炉都开始帮忙传消息了，结果刚发的“在吗”被加热成了“熟了吗”。
zh	-	测量	鞋	科学家最新研究发现，人类脚臭程度与鞋的密闭性成正比——建议用测量地震的仪器来测穿一周后的运动鞋，震级起码7.5！	实验室刚用高精度测量仪扫了我脱下的鞋，AI当场报警：“检测到疑似生化武器残留——建议列入《禁止鞋类公约》附录一。”	科学家最新研究发现，人类脚臭程度与鞋的密闭性成正比——建议用测量地震的仪器来测穿一周后的运动鞋，震级起码7.5！
zh	-	切割	车	听说有人把车切割成两半，结果发现是共享单车——难怪骑一半就“自动解约”了！	有人把车切割成两半，结果发现是公司配的“共享座驾”——难怪每次启动都弹窗提示：“您已欠费，服务将在3秒后优雅终止。”	听说有人把车切割成两半，结果发现是共享单车——难怪骑一半就“自动解约”了！
zh	-	洗	窗户	他洗窗户洗到一半，新闻突然播报外星人入侵——结果UFO就停在他刚擦干净的玻璃上，说这反光太刺眼，求他别洗了！	他刚洗完窗户，物业就发通知：“恭喜您家玻璃反光率达标，已被征用为社区AI监控系统的免费镜面——下次清洗前，请先向算法申请伦理审查。”	他洗窗户洗到一半，新闻突然播报外星人入侵——结果UFO就停在他刚擦干净的玻璃上，说这反光太刺眼，求他别洗了！
zh	-	洗	番茄	番茄被洗得连籽都喊冤，说这年头清白比红还难守住。	番茄在洗菜池里哭诉：“我连农药都没沾，你倒先给我洗出‘社会性死亡’了。”	番茄被洗得连籽都喊冤，说这年头清白比红还难守住。
zh	-	扔	花	听说他扔股票跟扔花一样潇洒，结果花还能插瓶里养着，股票只剩下一地韭菜香。	他扔股票比扔花还狠，至少花扔了还能上坟，股票扔了只配给韭菜烧纸。	听说他扔股票跟扔花一样潇洒，结果花还能插瓶里养着，股票只剩下一地韭菜香。
zh	-	洗	岩石	有人试图洗清岩石的“污点”，结果岩石说：“我风化千年，脏的是你的心。”	环保局派人去“洗”一块岩石，说它影响市容；岩石裂开一道缝，回了句：“你洗完手还用同一块抹布擦键盘，好意思说我脏？”	有人试图洗清岩石的“污点”，结果岩石说：“我风化千年，脏的是你的心。”
zh	-	剥皮	玉米	近日玉米价格暴涨，农民连夜给玉米“剥皮”上市，结果发现剥到最后只剩一根芯——原来这届玉米也学会了“画皮”。	玉米剥皮剥到只剩芯，农民冷笑：“这届玉米比老板还会画饼——表面金黄饱满，内里全是KPI泡沫。”	近日玉米价格暴涨，农民连夜给玉米“剥皮”上市，结果发现剥到最后只剩一根芯——原来这届玉米也学会了“画皮”。
zh	-	称重	书	图书馆新规定：借书前先称重，结果我的《五年高考三年模拟》比狗还沉！	图书馆搞“称重借书”，我掏出《存在与虚无》压秤，管理员瞥了一眼说：“这本书早被借烂了——不是内容，是物理重量，上次有人拿它当哑铃练完直接还回来自习室。”	图书馆新规定：借书前先称重，结果我的《五年高考三年模拟》比狗还沉！
zh	-	喷洒	微波	为了消灭蚊子，环保局决定用微波炉原理喷洒“热浪驱蚊剂”，结果小区Wi-Fi全被烤成了404。	环保局用微波原理喷洒“热浪驱蚊剂”，结果蚊子没烫死，邻居的路由器先熟了，连5G都烤成了“无信号烧烤”。	为了消灭蚊子，环保局决定用微波炉原理喷洒“热浪驱蚊剂”，结果小区Wi-Fi全被烤成了404。
zh	-	滚动	胡萝卜	股市又暴跌了，韭菜们滚着胡萝卜逃命，边滚边喊：“这根救命萝卜比K线还红！”	股市一跌，韭菜们滚动离场时还不忘叼根胡萝卜——毕竟K线绿得发慌，只有这玩意儿还敢冒充红盘。	股市又暴跌了，韭菜们滚着胡萝卜逃命，边滚边喊：“这根救命萝卜比K线还红！”
zh	-	切割	键盘	键盘侠情绪失控，竟用切割机把键盘切成九宫格发泄——结果连“撤回”键都切没了。	键盘侠怒斥“现实太假”，抄起切割机把机械键盘剁成二维码——扫出来却是他三年前删掉的撤回消息：“对不起，我错了。”	键盘侠情绪失控，竟用切割机把键盘切成九宫格发泄——结果连“撤回”键都切没了。
zh	-	称重	蛋	超市鸡蛋称重时集体耍赖，愣是把自己算成了“蛋”簧秤！	超市称重台前，鸡蛋们集体躺平：“别称了，我们不是蛋，是‘蛋’簧——一压就碎，一碎就赔。”	超市鸡蛋称重时集体耍赖，愣是把自己算成了“蛋”簧秤！
zh	-	洗	冰箱	听说他把冰箱洗了三遍，结果新闻说——“嫌犯藏匿于家电内部”，原来是在躲洗衣粉的追杀！	他洗冰箱洗到报警器响，警察破门而入才发现——不是藏尸，是藏了三个月没交的房租账单。	听说他把冰箱洗了三遍，结果新闻说——“嫌犯藏匿于家电内部”，原来是在躲洗衣粉的追杀！
zh	-	拔掉	混合器	听说他拔掉混合器插头时，连隔壁邻居家的Wi-Fi都安静了。	他拔掉混合器插头那刻，整栋楼的创业咖啡馆突然安静——原来所谓“智能厨房”连搅拌都靠外接电源续命。	听说他拔掉混合器插头时，连隔壁邻居家的Wi-Fi都安静了。
zh	-	称重	香蕉	超市香蕉搞促销，顾客称重时连皮都舍不得剥——生怕少算一克，亏了那根“黄金条”。	超市称重台前，大妈把香蕉连皮带标签往秤上一甩：“这根‘碳水权贵’少算一克，我今天的KPI就崩了。”	超市香蕉搞促销，顾客称重时连皮都舍不得剥——生怕少算一克，亏了那根“黄金条”。
zh	-	洗	门	听说他洗心革面去应聘，结果简历刚递进门，就被前台拿去当抹布擦门了。	他洗心革面去敲大厂的门，结果HR开门第一句：“你这简历上的‘精通’俩字，得先拿去洗洗——我们门禁系统认不出这么脏的词。”	听说他洗心革面去应聘，结果简历刚递进门，就被前台拿去当抹布擦门了。
zh	-	测量	花	科学家最新研究发现，用卷尺测量花的身高时，花居然害羞得缩成了干花——原来它以为自己在参加植物界选美大赛！	园艺师刚掏出卷尺想测量花的株高，那花“唰”地合上花瓣——不是害羞，是怕被量完就送去插花比赛当背景板。	科学家最新研究发现，用卷尺测量花的身高时，花居然害羞得缩成了干花——原来它以为自己在参加植物界选美大赛！
zh	-	称重	瓶子	他去超市称重，结果瓶子比菜还重——原来装的是前任的眼泪，密度超标！	他拎着瓶子去超市称重，秤刚亮红灯——不是超重，是瓶子装了老板画的大饼，密度高到触发食品安全警报。	他去超市称重，结果瓶子比菜还重——原来装的是前任的眼泪，密度超标！
zh	-	切割	电话	老板说要“切割”业务线，我一紧张把电话线也剪了，现在连裁员通知都打不进来。	老板说要“切割”低效业务，我手一抖剪了电话线——现在HR打不通电话，只能群发邮件通知我被裁了。	老板说要“切割”业务线，我一紧张把电话线也剪了，现在连裁员通知都打不进来。
zh	-	洗	苹果	听说他洗苹果时太用力，结果把手机也泡水了——原来那颗“苹果”是iPhone！	他虔诚地“洗”着“苹果”，结果佛祖没显灵，Apple ID先被锁了——原来供桌上那颗不是水果，是上个月分期买的iPhone。	听说他洗苹果时太用力，结果把手机也泡水了——原来那颗“苹果”是iPhone！
